Location ID;Name;Rating;Price Level
696426;Ae Oche;4.0;$
696466;Biffi Scala & Toula;4.5;$$ - $$$
696494;Caffe Rivoire;3.5;$$ - $$$
743592;Arcadia;4.0;$$$$
743751;Ristorante Pizzeria Ulisse;3.5;$$ - $$$
1068013;Ostaria al Vecio Pozzo;4.0;$$ - $$$
1087361;Trattoria Battibecco;4.0;$$$$
1210509;Caffe Mulassano;4.0;$$ - $$$
1401853;Ristorante Papa Francesco;3.5;$$ - $$$
1510220;Il Cavallino;2.5;$$ - $$$
1519588;Ristorante Patelli;4.0;$$ - $$$
1587663;Ristorante Pizzeria Ferrari;3.5;$$ - $$$
1735115;Caffe' Svizzero;4.0;$$ - $$$
2040004;Bisteccheria - Osteria dell' Orcagna;4.5;$$ - $$$
2068022;Antico Forno delle Sfogliatelle Calde Fratelli Attanasio;4.5;$
2097010;Trattoria La Mela;4.0;$$ - $$$
2104081;Bar Perseo;3.0;$$ - $$$
2169462;Uva e Menta;4.0;$$ - $$$
2199512;Ristorante Flora;4.0;$$ - $$$
2282691;Ristorante Elodia;4.5;$$$$
2318712;Ristorante Il Bargello;4.0;$$ - $$$
2327631;Ristorante Marino dal 1939;3.0;$$ - $$$
2330309;La Rivetta;4.0;$
2373856;Simon Pub;3.5;$$ - $$$
2386276;Ristorante Borgo Nuovo;4.5;$$ - $$$
2388834;Gucci Osteria da Massimo Bottura;4.0;$$ - $$$
2406924;Pizza 2000;4.5;$
2420394;Donegal Irish Pub;3.5;$$ - $$$
2468197;Meat Grill Food;3.0;$$ - $$$
2530295;Ristorante Pizzeria Nonna Cristina;3.5;$$ - $$$
2646955;Antica Latteria;4.0;$
3334956;Buffet L'approdo;4.5;$
3351141;Trattoria al mercato;3.5;$
3407401;Caffe Regio;3.5;$$ - $$$
3576585;Cafe Latino;3.0;$$ - $$$
3578690;Pizzeria Piu Komodo;4.0;$$ - $$$
3599244;Il pipino rosso;4.0;$$ - $$$
3773622;Cibo;4.0;$$ - $$$
3774295;Anatolia Kebab;4.5;$
3833070;Un Punto Macrobiotico;3.5;$
3864698;Noa Sardinian Winery e Cucina;4.5;$$ - $$$
4021799;Al Parador;2.5;$$ - $$$
4089375;Caffe Baratti & Milano;4.0;$$$$
4132286;Bar Vittorio Emanuele, dal 1882;2.5;$$ - $$$
4191774;Panetto Perfetto;5.0;$
4451847;Cremcaffe;4.0;$$ - $$$
4497363;Mercato Vianova;4.0;$$ - $$$
4736580;The Michael Collins;4.0;$
4985366;La Rotonda;4.0;$
5213119;Istanbul Doner Kebab & Asian Restaurant Sas;4.0;$
5452872;Pigro Mortadelleria;4.5;$
5577447;Re Gallo;4.0;$$ - $$$
5888878;city bar;3.5;$
5937747;Caffe delle Terme;3.0;$$ - $$$
5990143;Fratelli La Bufala;3.5;$$ - $$$
6018399;Pizzeria Corner;3.5;$
6206445;Antico Caffe Moro;3.5;$
6352507;Ristorante Bar Da Gaetano;4.5;$
6353416;Al Posta;4.0;$
7306826;L'Antica Grotta;4.5;$$ - $$$
7647013;Italiana Caffe Trento;3.5;$
7987420;Bar Romano Snc;2.5;$$ - $$$
7997456;Bisso Bistrot;4.0;$
8019666;Pizzeria Mazzini;4.5;$
8054706;Non Solo Testo;4.0;$
8277042;Terrazza San Giorgio;3.0;$$ - $$$
8328341;Sicily on StreEat;4.5;$
8340980;Nero Caffe Bar;3.0;$$ - $$$
8341328;Cafe Moroneotto;4.5;$
8374589;McDonald's;3.5;$
8404269;McDonald's - Goldoni;2.5;$
8444461;Botanica Lab Cucina;4.5;$$ - $$$
8563895;Vinaino Fiorenza;4.5;$
8729334;Hanami Ancona;3.5;$
8811044;La Corte by Eataly;3.5;$$ - $$$
8843393;La Mezza Luna;4.5;$$ - $$$
9553737;YUM buono da mangiare;4.0;$
9701224;100 Montaditos;4.0;$
9701961;Pizzeria Fifty Fifty;3.5;$
10460574;McDonald's;2.5;$
10517473;Beverly Bake Shop;4.5;$
10596855;La Taverna Dei Re;4.0;$
10868298;Osteria Bartolini - il Mare a Bologna;3.5;$$ - $$$
10884202;Ristorante Zenzero Ancona;4.0;$$ - $$$
11620643;Caffe Mazzini;3.0;$
11712502;Bar Venier;3.5;$
11797720;Fazzari's 18;3.5;$$ - $$$
11807435;Adesso Pasta Car Ristorante;3.5;$$ - $$$
11875775;Pizzeria Stuzzicandoci;4.0;$
12148898;Lulam Gelati;4.0;$$ - $$$
12321485;Bella 'mbriana Pizzeria;4.0;$$$$
12357910;Pasticceria Azzurra;3.0;$
12458164;Crusco's;4.0;$
12596447;SALMORIGLIO;4.5;$$ - $$$
12860770;Gino's 1928;3.0;$$ - $$$
12863805;Il piccolo principe;4.0;$
12947719;Flagship Store Lavazza;4.0;$$ - $$$
13004532;Ristorante Agriturismo Tre Arie;5.0;$
13115034;Olimpia Caffe;4.5;$
13196269;Hysteria - Salad & Pizza;4.0;$
13237003;Bar Tarantino;4.5;$
13470492;La Piadineria;3.5;$
13477484;Tipico;4.5;$$ - $$$
13477753;Trattoria Assettati E Mangia;4.5;$$ - $$$
13738046;Plaza Pretoria;4.0;$
13792477;EatWith: Barbara of Rome;5.0;$$ - $$$
13819595;Quarantotto History;4.0;$$ - $$$
13823609;La Bottega del Duomo;3.5;$
13948573;Capatoast;3.5;$
14121663;Il Valentino;4.0;$$ - $$$
14176584;Foyer Lounge Bar;4.0;$$ - $$$
14592007;Ristorante laboratorio dei sapori;3.5;$$ - $$$
14881443;Osteria da Giorgione;3.0;$$ - $$$
14944674;Osteria della Rivetta;3.5;$
14967682;Ristorante L'Opera;4.5;$$$$
15030550;Bagolo Caffetteria;3.5;$$ - $$$
15046382;Giornale & Caffe;4.5;$$ - $$$
15080747;Caponata cucina&pizza;4.5;$$$$
15647678;Tako Sushi;4.0;$
15663083;Vitanova cucina e dolci;4.5;$$ - $$$
16721501;MoVi Restaurant;5.0;$$ - $$$
17510862;Scusate il Ritardo Pizzeria - Ristorante;4.0;$$ - $$$
17759671;IVinattieri;3.0;$$ - $$$
17762224;Pizzeria Italiana Espressa;3.5;$$ - $$$
17784775;Piu Gusto;4.5;$
18929902;Brebus Bakery & Pizza;4.0;$
18937487;La Nicchietta in Calimaruzza;5.0;$
19897463;La Serra Gastronomia con cucina;5.0;$
19961698;White Bakery New York Food;3.0;$$ - $$$
20239345;Rio Marin Ristorante Pizzeria;4.5;$$ - $$$
21143239;Niu Cafe - Bistrot;3.0;$$$$
21211569;Chaperon Vineria;3.5;$$$$
21282182;Barangolo Cavour;4.5;$
21340805;Golocious Burger & Wine - Roma;4.0;$$ - $$$
21349829;Shinto Perugia;4.0;$$$$
23365335;Osteria Ae Saracche;4.5;$$ - $$$
23582135;Osteria La Bottega;4.5;$$ - $$$
